source,id,lat,lon,score,tier,osm_category,area_sqm,maps_link,model_version,scored_date,rank,score_adjusted,tier_adjusted
known_osm,pos_3445,41.747914,-72.65775239999999,0.2389243445801607,Core Warehouse Candidate,warehouse,,"https://www.google.com/maps/@41.747914,-72.65775239999999,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,975,0.0098,Deprioritized
known_osm,neg_493,38.9242216,-77.04102024780732,0.23830002745684714,Core Warehouse Candidate,supermarket,,"https://www.google.com/maps/@38.9242216,-77.04102024780732,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,976,0.0098,Deprioritized
overture_discovery,ov_46,32.92669503378593,-97.18828892391059,0.23663843061553017,Core Warehouse Candidate,industrial,22553.0,"https://www.google.com/maps/@32.92669503378593,-97.18828892391059,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,977,0.0097,Deprioritized
known_osm,pos_35,41.0949054,-74.01128,0.23240203754548622,Core Warehouse Candidate,warehouse,,"https://www.google.com/maps/@41.0949054,-74.01128,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,978,0.0094,Deprioritized
known_osm,neg_395,40.03968345,-76.36094939595398,0.2322808431138349,Core Warehouse Candidate,hotel,,"https://www.google.com/maps/@40.03968345,-76.36094939595398,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,979,0.0094,Deprioritized
known_osm,pos_356,45.0921709,-93.4399261,0.2253759006462142,Core Warehouse Candidate,warehouse,,"https://www.google.com/maps/@45.0921709,-93.4399261,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,980,0.0091,Deprioritized
known_osm,neg_594,35.4017832,-80.64480815600464,0.22525386936197048,Core Warehouse Candidate,school,,"https://www.google.com/maps/@35.4017832,-80.64480815600464,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,981,0.0091,Deprioritized
known_osm,neg_1118,42.05889104999999,-88.14351120895294,0.2244635056428335,Core Warehouse Candidate,retail_large,,"https://www.google.com/maps/@42.05889104999999,-88.14351120895294,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,982,0.009,Deprioritized
known_osm,pos_1291,34.036658,-84.3405693,0.22156576344149154,Core Warehouse Candidate,warehouse,,"https://www.google.com/maps/@34.036658,-84.3405693,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,983,0.0089,Deprioritized
known_osm,neg_690,35.4045208,-80.65065950387196,0.21785722263107996,Core Warehouse Candidate,park,,"https://www.google.com/maps/@35.4045208,-80.65065950387196,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,984,0.0087,Deprioritized
known_osm,pos_2050,49.6976922,-112.8206652,0.21650901628436797,Core Warehouse Candidate,warehouse,,"https://www.google.com/maps/@49.6976922,-112.8206652,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,985,0.0086,Deprioritized
known_osm,pos_1252,-34.73217169999999,138.6305878,0.21622766993101436,Core Warehouse Candidate,warehouse,,"https://www.google.com/maps/@-34.73217169999999,138.6305878,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,986,0.0086,Deprioritized
overture_discovery,ov_60,32.75744819290348,-97.11132271031052,0.2160563543112224,Core Warehouse Candidate,unknown,31520.0,"https://www.google.com/maps/@32.75744819290348,-97.11132271031052,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,987,0.0086,Deprioritized
known_osm,neg_1006,47.27360770000001,-122.3967491774418,0.21489849430765018,Core Warehouse Candidate,industrial,,"https://www.google.com/maps/@47.27360770000001,-122.3967491774418,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,988,0.0085,Deprioritized
overture_discovery,ov_23,32.577036347169376,-97.13363815670631,0.2132031676071776,Core Warehouse Candidate,commercial,19650.0,"https://www.google.com/maps/@32.577036347169376,-97.13363815670631,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,989,0.0085,Deprioritized
known_osm,neg_268,35.4156743,-80.6767937,0.20569412273723658,Core Warehouse Candidate,restaurant,,"https://www.google.com/maps/@35.4156743,-80.6767937,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,990,0.0081,Deprioritized
overture_discovery,ov_85,32.96198883222393,-97.17481667797325,0.20380517613172405,Core Warehouse Candidate,commercial,3725.0,"https://www.google.com/maps/@32.96198883222393,-97.17481667797325,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,991,0.008,Deprioritized
